,3110035E14Rik_class,Aldoc_class,Cck_class,Cplx2_class,Enc1_class,Gad1_class,Id2_class,Ndnf_class,Neurod6_class,Npy2r_class,Pcp4_class,Pde1a_class,Plp1_class,Prkca_class,Pvalb_class,Reln_class,Rgs4_class,Sst_class,Wfs1_class,Zero
Cxcl14,9.636845977612803e-05,0.23800767904539197,0.46676251782146977,0.013241499279538322,0.2819020487812682,0.39724847131253127,0.591490467185842,1.9410480932437377,0.4095378831044558,0.45847131865462315,0.3909058788471807,0.33879648554795067,0.04861761385706684,0.09507671761227493,0.10813662130959557,0.6320002422875005,0.07759970565541235,0.6807978521638537,0.23323941545792284,0.06488972032349087
Enc1,3.6329489707579032,0.21687498685724343,0.6154314318383016,2.649854807026376,3.8071387059178727,0.11478874495907275,0.4511805937914291,0.23835534333079295,2.4989167047093566,0.09917186980537158,6.945449593607026,5.896873957435352,0.015144796870008649,1.5628927328292745,0.3263659532868854,0.14477245479847675,1.6818039180456839,0.24086581432244444,1.7551935569939237,0.07276761666467356
Enpp2,0.0,0.12226305718669432,0.08871199459440125,0.13534301743478697,0.01335530117149007,0.13203476853664217,0.049910961714262576,0.15777240383563593,0.3263756439299618,0.11719136304039204,0.335203071150676,0.0935194443110882,1.9554725961302735,0.0752121668500996,0.18396292467336403,0.05502385334998261,0.08528819097177244,0.19040963423368823,0.09402543463025399,0.06524954078968445
Fam19a1,2.33487270996891,0.03126857978900227,0.6508963229578818,0.9240949671106168,1.5664111028986594,0.004564073629802924,0.03986739910979559,0.0,1.1065084497608821,0.05189672926029686,1.7435504100829313,0.7190354542899153,0.0074122576163500485,0.8400345423720241,0.0974469744169598,0.0,0.2072085288264807,0.01993831658439227,1.0175778803890396,0.01978862024700687
Fos,0.08576104328689096,0.002235626828288287,0.0,0.008400579677860788,0.1393050393274981,0.0,0.0,0.16291090758010765,0.026746285381224602,0.0,0.0004062920399285686,0.010093245737972083,0.006963941440061033,0.08480625479042561,0.0006953287571918929,0.03787911867933992,0.0026304535104834585,0.0033519344752034608,0.018842943870383537,0.0029689871033388277
Gabrd,0.0,0.0035637413327148162,0.0,0.0,0.0,0.0,0.15874371764258108,0.0,0.0,0.0,0.0,0.0,0.0,0.004220012067220437,0.05514587840403671,0.0,0.028504037298091693,0.0759283050615636,0.00014681435117115923,0.0012994185324016873
Gad1,0.07604374441731145,0.11527127827456014,2.9170675348351405,0.5009198547392009,0.0022361065295907834,10.076039143955349,11.188049892718414,6.85697187549871,0.15653917949229307,9.957706544595679,0.10205041445637246,0.042715875419578164,0.06194005389680783,0.07161258395287833,7.25810102041913,4.5943566917148235,0.10607029741784789,2.6245608620603207,0.015945373593526296,0.09643637965789194
Gda,0.2835349546346378,0.00016784026398889733,0.0,0.2230023198261469,0.0641925429646333,0.0,0.0,0.038527424054985604,0.0026696349309421824,0.0,0.0,0.07539395595957492,9.849635172108491e-05,0.09100749325869063,0.0026440369940384724,0.019765940990298166,0.07442161319645409,0.09663407478457217,0.08560927781517237,0.008127896826913826
Grin3a,0.0,0.03682453510206968,0.1230099472427606,0.0,0.00020582004319057823,0.12868752281100837,0.11768775496172496,0.0,0.0,0.1894500603549666,0.1442355524754298,0.0,0.005395236734250735,0.015091681979561521,0.02939921440684029,0.03731450611444235,0.02903943279953324,0.1963730967313049,0.16269666291286822,0.008330163542166109
Hapln1,0.0,0.04377213381179441,0.0009427648851891289,0.0,0.0,0.1983529666042692,1.0720203206921153,0.0,0.020665761422295627,0.32263044966515825,0.0,0.0,0.003165422542605056,0.004675584877474985,0.3360889381255431,0.0368176771175448,3.674312709632601e-05,0.022946795744363,0.0008139289147941455,0.020299634624246516
Htr3a,0.7100890776286227,0.008563132774945472,0.3188413520827897,0.2098914780393275,0.4513620026088686,0.3906566736622895,0.3199912413569711,0.491630786652895,1.1492357100290496,0.2603182980237824,1.316826967564161,0.7508673953888458,0.008482006348873082,0.2543908263116938,0.3012958978999631,0.259164577567627,0.2453851750810045,0.40402296074079397,0.20457506683634585,0.023611430235588746
Id2,0.11467908512148203,1.9978961570542484,0.5927400906556697,0.03186373106004819,0.10939842133003119,1.6836577704325852,7.841345841071256,0.8894280399942625,0.14057191249605602,0.6341608162579959,0.007470852304410026,0.794115763481311,0.24202703760071065,0.19051299886403394,0.1268940324558633,0.8242547039308943,0.8779461052482762,0.148469928537621,0.16881049217714522,0.28843455169022447
Kcnk2,0.0,0.0,0.05952020506127449,0.02964070757522157,0.0,0.0,0.007503345157883649,0.0002332467123871917,0.0,0.0,0.0,0.0,0.004912895237307259,0.016445330867465507,0.0,0.0,0.0032061283465128804,0.0,0.007877350355087099,0.0020019134818574317
Kctd12,0.07699223146316848,0.030528975230137163,0.10016847048044825,0.41788470160792357,0.06323763336024082,0.002164131404548581,0.13800879868197657,0.5156379949620216,0.05129495167535712,0.0043726082868017924,0.13253317846573717,0.340594630557435,0.06897665291649266,0.09128686131722216,0.01367662265365385,0.08072148238264586,0.13614752422566398,0.16837179595717602,0.0698589466257464,0.023691273747639692
